SYM,STK,EST,TOTZ
RD,006,183,1415000
RD,017,077,1437000
RD,025,048,1252000
RD,025,046,1197000
RD,025,048,1248000
RD,025,052,1353000
RD,025,059,1477000
RD,025,043,1134000
RD,025,046,1195000
RD,025,055,1436000
RD,030,051,1603000
RD,030,050,1572000
RD,030,043,1342000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1350000
RD,033,033,1350000
RD,033,033,1350000
RD,033,033,1350000
RD,033,033,1350000
RD,033,033,1350000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000
RD,033,033,1330000






